
Coronavirus for Census Region 2
RepWeekDate	RegID	CoVHKU1	CoVNL63	CoVOC43	CoV229E
1	03/31/18	2	1.3761468	0.3753128	0.9591326	0.0000000
2	04/07/18	2	0.5208333	0.3906250	0.8246528	0.0434028
3	04/14/18	2	0.7863090	0.0925069	0.5550416	0.0462535
4	04/21/18	2	0.7146260	0.3334921	0.7622677	0.1429252
5	04/28/18	2	0.5483549	0.0997009	0.2492522	0.0000000
6	05/05/18	2	0.4568818	0.2855511	1.0850942	0.0000000
7	05/12/18	2	0.2963841	0.0000000	0.4742146	0.1185536
8	05/19/18	2	0.3253090	0.2602472	0.5855563	0.1301236
9	05/26/18	2	0.3382950	0.2029770	0.2029770	0.0676590
10	06/02/18	2	0.1493652	0.0746826	0.2240478	0.0746826
11	06/09/18	2	0.4405286	0.1468429	0.1468429	0.1468429
12	06/16/18	2	0.1546790	0.0000000	0.3866976	0.0773395
13	06/23/18	2	0.1633987	0.0816993	0.2450980	0.0000000
14	06/30/18	2	0.0904977	0.1809955	0.1809955	0.0904977
15	07/07/18	2	0.0949668	0.0000000	0.0949668	0.0000000
16	07/14/18	2	0.0914077	0.0000000	0.2742230	0.0000000
17	07/21/18	2	0.0000000	0.0881057	0.0881057	0.0000000
18	07/28/18	2	0.0000000	0.0000000	0.0000000	0.0000000
19	08/04/18	2	0.0957854	0.0000000	0.1915709	0.0000000
20	08/11/18	2	0.0000000	0.0000000	0.0853971	0.0000000
21	08/18/18	2	0.0000000	0.0000000	0.0000000	0.0825764
22	08/25/18	2	0.0000000	0.2435065	0.1623377	0.0811688
23	09/01/18	2	0.0000000	0.1504891	0.0752445	0.0000000
24	09/08/18	2	0.0000000	0.0000000	0.1962067	0.0654022
25	09/15/18	2	0.0554631	0.0000000	0.1109262	0.1109262
26	09/22/18	2	0.0000000	0.0000000	0.1137656	0.0568828
27	09/29/18	2	0.0000000	0.1041667	0.0520833	0.1041667
28	10/06/18	2	0.0000000	0.0504541	0.1009082	0.1513623
29	10/13/18	2	0.0475964	0.1903855	0.1903855	0.0000000
30	10/20/18	2	0.0000000	0.0436491	0.0872981	0.0000000
31	10/27/18	2	0.0000000	0.2169197	0.5206074	0.0867679
32	11/03/18	2	0.0000000	0.0421408	0.5899705	0.0842815
33	11/10/18	2	0.0839983	0.0419992	0.4199916	0.0839983
34	11/17/18	2	0.1220504	0.2441009	0.6102522	0.2034174
35	11/24/18	2	0.0000000	0.2252252	0.8108108	0.2252252
36	12/01/18	2	0.0734484	0.2570694	2.0565553	0.1468968
37	12/08/18	2	0.0000000	0.1896813	2.3520486	0.1896813
38	12/15/18	2	0.1103347	0.3677823	3.3835969	0.4413387
39	12/22/18	2	0.0355492	0.7820832	5.2968361	0.2843939
40	12/29/18	2	0.0710227	1.0653409	7.2798295	0.4971591
41	01/05/19	2	0.0601504	1.2631579	5.7443609	0.6917293
42	01/12/19	2	0.1497903	1.6776513	7.5494308	0.7189934
43	01/19/19	2	0.2305665	2.2068511	7.2463768	1.0210804
44	01/26/19	2	0.3024194	2.4529570	8.4677419	1.0080645
45	02/02/19	2	0.1351351	2.7364865	6.8581081	1.3513514
46	02/09/19	2	0.2641136	4.0607461	6.5698250	1.6176956
47	02/16/19	2	0.4032258	4.1330645	5.7459677	1.3104839
48	02/23/19	2	0.3350594	3.9597929	5.2695705	1.9494365
49	03/02/19	2	0.2912056	5.1543390	4.0768783	2.1258008
50	03/09/19	2	0.8476971	4.8883865	3.5603278	2.1192427
51	03/16/19	2	0.5002633	3.8177988	3.2912059	1.7640864
52	03/23/19	2	0.5091938	3.7340877	2.6308345	2.5176803
53	03/30/19	2	0.4398366	2.1677663	1.9478479	2.3562677
54	04/06/19	2	0.5569092	2.4016707	2.0536025	1.7751479
55	04/13/19	2	0.5667729	1.6648955	1.3815090	1.5940489
56	04/20/19	2	0.3613007	1.4853473	1.2444801	1.6459253
57	04/27/19	2	0.1670146	1.3361169	1.2943633	1.6283925
58	05/04/19	2	0.5893019	0.7706256	0.8159565	1.0879420
59	05/11/19	2	0.5744125	0.6266319	0.3655352	0.5744125
60	05/18/19	2	0.3146067	0.4044944	0.5842697	0.8539326
61	05/25/19	2	0.3489531	0.5483549	0.4985045	0.5982054
