
Coronavirus for Census Region 1
RepWeekDate	RegID	CoVHKU1	CoVNL63	CoVOC43	CoV229E
1	03/31/18	1	0.5889282	0.0000000	0.5889282	0.0000000
2	04/07/18	1	0.7266122	0.0908265	0.2724796	0.1816530
3	04/14/18	1	0.9336100	0.6224066	0.2074689	0.0000000
4	04/21/18	1	0.6681514	0.4454343	0.5567929	0.2227171
5	04/28/18	1	0.2296211	0.4592423	0.4592423	0.2296211
6	05/05/18	1	0.3735990	0.4981320	0.4981320	0.0000000
7	05/12/18	1	0.3926702	0.1308901	0.2617801	0.1308901
8	05/19/18	1	0.2754821	0.1377410	0.4132231	0.1377410
9	05/26/18	1	0.4126547	0.1375516	0.5502063	0.0000000
10	06/02/18	1	0.0000000	0.0000000	0.3430532	0.1715266
11	06/09/18	1	0.1795332	0.1795332	0.1795332	0.1795332
12	06/16/18	1	0.1739130	0.1739130	0.5217391	0.1739130
13	06/23/18	1	0.3669725	0.1834862	0.5504587	0.0000000
14	06/30/18	1	0.2183406	0.4366812	0.4366812	0.0000000
15	07/07/18	1	0.0000000	0.0000000	0.6134969	0.2044990
16	07/14/18	1	0.1912046	0.1912046	0.0000000	0.0000000
17	07/21/18	1	0.0000000	0.1930502	0.5791506	0.1930502
18	07/28/18	1	0.0000000	0.2141328	0.4282655	0.2141328
19	08/04/18	1	0.0000000	0.0000000	0.2293578	0.2293578
20	08/11/18	1	0.1945525	0.0000000	0.1945525	0.1945525
21	08/18/18	1	0.0000000	0.2169197	0.2169197	0.2169197
22	08/25/18	1	0.0000000	0.3752345	0.5628518	0.0000000
23	09/01/18	1	0.0000000	0.9505703	0.3802281	0.0000000
24	09/08/18	1	0.0000000	0.0000000	0.4264392	0.2132196
25	09/15/18	1	0.1655629	0.3311258	0.4966887	0.6622517
26	09/22/18	1	0.1345895	0.5383580	0.5383580	0.1345895
27	09/29/18	1	0.0000000	0.7163324	0.5730659	0.1432665
28	10/06/18	1	0.0000000	0.3512881	0.2341920	0.1170960
29	10/13/18	1	0.1141553	0.4566210	0.3424658	0.4566210
30	10/20/18	1	0.1070664	0.0000000	0.1070664	0.0000000
31	10/27/18	1	0.0979432	0.1958864	0.1958864	0.0979432
32	11/03/18	1	0.1988072	0.2982107	0.4970179	0.0994036
33	11/10/18	1	0.0000000	0.1947420	0.3894839	0.1947420
34	11/17/18	1	0.0950570	0.2851711	0.2851711	0.3802281
35	11/24/18	1	0.0000000	0.1792115	1.7025090	0.0896057
36	12/01/18	1	0.0829876	0.7468880	1.1618257	0.5809129
37	12/08/18	1	0.2553191	0.5957447	2.6382979	0.7659574
38	12/15/18	1	0.3861004	0.8494208	3.8610039	1.6216216
39	12/22/18	1	0.4768392	0.6130790	3.9509537	1.0217984
40	12/29/18	1	0.5997001	1.1244378	5.7721139	1.3493253
41	01/05/19	1	0.4093567	1.2865497	4.5029240	1.6374269
42	01/12/19	1	0.5441354	1.5719468	6.4087062	1.7533253
43	01/19/19	1	0.9296149	1.3280212	5.5112882	2.1912351
44	01/26/19	1	0.5235602	1.5706806	5.8246073	2.4214660
45	02/02/19	1	0.8104738	1.3715711	4.4264339	2.2443890
46	02/09/19	1	1.0321101	1.3188073	4.2431193	1.6628440
47	02/16/19	1	0.8051530	1.5566291	4.2941492	1.8786903
48	02/23/19	1	0.3826531	1.4030612	2.5510204	1.6581633
49	03/02/19	1	0.7702182	1.5404365	2.2464698	2.1181001
50	03/09/19	1	0.5076142	2.2208122	3.1091371	1.9035533
51	03/16/19	1	0.1982816	2.1150033	1.4540648	1.8506279
52	03/23/19	1	0.4487179	2.4358974	1.9871795	1.6025641
53	03/30/19	1	0.6206897	1.2413793	1.5862069	0.9655172
54	04/06/19	1	0.7230658	1.3738250	1.1569053	1.3738250
55	04/13/19	1	0.5542359	1.0292953	0.6334125	1.3460016
56	04/20/19	1	0.6044905	0.5181347	0.7772021	1.0362694
57	04/27/19	1	0.4389816	0.3511853	0.4389816	0.2633889
58	05/04/19	1	0.9316770	0.4140787	0.4140787	0.3105590
59	05/11/19	1	0.5040323	0.5040323	0.3024194	0.6048387
60	05/18/19	1	0.0000000	0.3174603	0.2116402	0.3174603
61	05/25/19	1	0.3300330	0.3300330	0.5500550	0.3300330
62	06/01/19	1	0.3089598	0.3089598	0.2059732	0.3089598
63	06/08/19	1	0.4640371	0.0000000	0.1160093	0.3480278
64	06/15/19	1	0.2659574	0.1329787	0.2659574	0.0000000
65	06/22/19	1	0.0000000	0.1237624	0.2475248	0.0000000
66	06/29/19	1	0.1383126	0.1383126	0.1383126	0.0000000
