
Coronavirus for Census Region 3
RepWeekDate	RegID	CoVHKU1	CoVNL63	CoVOC43	CoV229E
1	03/31/18	3	0.9332872	0.6567577	1.0715520	0.0345662
2	04/07/18	3	0.8775009	0.3861004	0.3861004	0.1755002
3	04/14/18	3	0.4032258	0.4032258	0.3665689	0.1466276
4	04/21/18	3	0.6571742	0.1825484	0.5476451	0.1095290
5	04/28/18	3	0.6432085	0.2270148	0.5675369	0.1135074
6	05/05/18	3	0.4249894	0.1699958	0.6799830	0.1699958
7	05/12/18	3	0.2192021	0.2630425	0.5699255	0.0876808
8	05/19/18	3	0.1786512	0.3126396	0.4912908	0.0446628
9	05/26/18	3	0.0919118	0.2297794	0.3676471	0.0919118
10	06/02/18	3	0.1998002	0.2997003	0.3996004	0.2997003
11	06/09/18	3	0.2496256	0.2496256	0.3494758	0.1997004
12	06/16/18	3	0.1097695	0.2195390	0.5488474	0.1097695
13	06/23/18	3	0.1712329	0.2853881	0.2283105	0.1141553
14	06/30/18	3	0.0558971	0.1676914	0.3353829	0.2235886
15	07/07/18	3	0.0641026	0.2564103	0.2564103	0.1282051
16	07/14/18	3	0.0637755	0.2551020	0.3826531	0.1275510
17	07/21/18	3	0.1980198	0.3300330	0.3960396	0.1980198
18	07/28/18	3	0.2012072	0.2012072	0.6036217	0.4694836
19	08/04/18	3	0.1455604	0.0727802	0.4366812	0.0727802
20	08/11/18	3	0.0669344	0.2677376	0.6024096	0.1338688
21	08/18/18	3	0.0000000	0.1300390	0.5201560	0.1300390
22	08/25/18	3	0.2446483	0.7339450	0.3669725	0.1834862
23	09/01/18	3	0.0000000	0.3719447	0.3719447	0.2125399
24	09/08/18	3	0.0000000	0.5042864	0.2017146	0.1008573
25	09/15/18	3	0.1409112	0.3757633	0.5166745	0.2818225
26	09/22/18	3	0.0000000	0.6843456	0.8126604	0.1283148
27	09/29/18	3	0.0000000	0.7289880	0.8147513	0.2144082
28	10/06/18	3	0.0384615	0.5000000	1.0384615	0.2307692
29	10/13/18	3	0.0000000	0.4013134	1.0944911	0.0364830
30	10/20/18	3	0.0000000	0.7825791	0.8166043	0.1020755
31	10/27/18	3	0.0000000	0.5712366	1.1424731	0.2688172
32	11/03/18	3	0.1588815	0.8261837	1.7476962	0.1906578
33	11/10/18	3	0.0000000	0.8301216	1.1858879	0.2075304
34	11/17/18	3	0.0623053	0.9034268	1.4953271	0.2180685
35	11/24/18	3	0.0981675	1.0798429	2.8468586	0.4253927
36	12/01/18	3	0.1591512	1.1936340	2.4403183	0.4509284
37	12/08/18	3	0.1612470	1.2899758	3.0368181	0.7793604
38	12/15/18	3	0.1514769	1.7672305	4.4938147	0.6563999
39	12/22/18	3	0.1482580	1.9520633	5.5349642	0.6918705
40	12/29/18	3	0.3006765	1.8541719	6.4394888	0.8769732
41	01/05/19	3	0.3205128	2.1942801	6.6568047	1.1587771
42	01/12/19	3	0.2223870	1.8285149	6.0785767	1.0378058
43	01/19/19	3	0.1812063	1.9932695	5.8762620	1.1131245
44	01/26/19	3	0.3762227	2.4579885	5.2921996	1.5299724
