
Coronavirus for Census Region 4
RepWeekDate	RegID	CoVHKU1	CoVNL63	CoVOC43	CoV229E
1	03/31/18	4	0.5922551	0.3189066	0.9111617	0.0455581
2	04/07/18	4	0.9214355	0.3879728	0.3879728	0.0484966
3	04/14/18	4	0.5561735	0.3893215	0.7230256	0.0556174
4	04/21/18	4	0.5215124	0.3259452	0.6518905	0.0000000
5	04/28/18	4	0.2024291	0.2699055	0.6072874	0.0674764
6	05/05/18	4	0.4246285	0.1415428	0.7784855	0.2123142
7	05/12/18	4	0.2248876	0.0749625	0.5247376	0.2248876
8	05/19/18	4	0.3530450	0.0882613	0.0882613	0.0000000
9	05/26/18	4	0.0000000	0.0911577	0.5469462	0.0000000
10	06/02/18	4	0.0960615	0.0000000	1.2487992	0.0000000
11	06/09/18	4	0.0000000	0.0923361	0.2770083	0.0923361
12	06/16/18	4	0.2107482	0.0000000	0.6322445	0.0000000
13	06/23/18	4	0.0000000	0.1022495	0.1022495	0.1022495
14	06/30/18	4	0.0000000	0.0000000	0.7990868	0.0000000
15	07/07/18	4	0.0000000	0.0000000	0.6060606	0.2424242
16	07/14/18	4	0.0000000	0.0000000	0.5284016	0.1321004
17	07/21/18	4	0.0000000	0.0000000	0.7102273	0.2840909
18	07/28/18	4	0.0000000	0.0000000	0.3735990	0.1245330
19	08/04/18	4	0.0000000	0.0000000	0.2967359	0.1483680
20	08/11/18	4	0.1386963	0.2773925	0.6934813	0.4160888
21	08/18/18	4	0.0000000	0.1287001	0.5148005	0.1287001
22	08/25/18	4	0.0000000	0.0000000	0.2375297	0.0000000
23	09/01/18	4	0.1084599	0.0000000	0.3253796	0.1084599
24	09/08/18	4	0.0000000	0.0000000	0.5399568	0.2159827
25	09/15/18	4	0.0000000	0.0000000	0.6542056	0.0000000
26	09/22/18	4	0.0000000	0.0978474	0.4892368	0.0978474
27	09/29/18	4	0.0000000	0.0949668	0.6647673	0.0949668
28	10/06/18	4	0.0000000	0.1779359	1.0676157	0.0889680
29	10/13/18	4	0.0822368	0.0822368	0.9868421	0.1644737
30	10/20/18	4	0.0000000	0.2444988	1.1409943	0.1629992
31	10/27/18	4	0.0000000	0.0728332	1.3838310	0.2913328
32	11/03/18	4	0.0711238	0.0711238	2.0625889	0.2133713
33	11/10/18	4	0.0000000	0.2124646	1.6288952	0.0708215
34	11/17/18	4	0.0000000	0.2691790	2.0188425	0.3364738
35	11/24/18	4	0.0000000	0.4316547	3.0215827	0.3597122
36	12/01/18	4	0.0000000	0.7500000	3.0625000	0.3750000
37	12/08/18	4	0.0000000	0.3119152	3.1191516	0.3119152
38	12/15/18	4	0.0000000	0.5414185	4.6020574	0.3789930
39	12/22/18	4	0.0513875	0.8221994	4.9331963	0.1541624
40	12/29/18	4	0.0920810	1.1049724	4.6040516	0.5524862
41	01/05/19	4	0.0000000	1.1494253	4.1556145	0.7515473
42	01/12/19	4	0.0425894	1.1073254	3.7052811	0.8091993
43	01/19/19	4	0.1742919	1.7429194	3.9651416	0.8278867
44	01/26/19	4	0.0452489	1.6289593	2.8506787	1.3574661
45	02/02/19	4	0.1142422	2.3610053	2.7037319	1.2185834
46	02/09/19	4	0.1130795	2.6385224	2.4123634	1.1307953
47	02/16/19	4	0.0000000	2.9191321	1.9329389	1.3412229
48	02/23/19	4	0.0000000	2.5475131	1.9813991	1.4152851
49	03/02/19	4	0.0378501	2.4981075	1.1355034	1.4004542
50	03/09/19	4	0.0000000	2.1353601	1.3753167	1.3753167
51	03/16/19	4	0.0720981	1.9826965	1.4059120	1.3698630
52	03/23/19	4	0.1110700	1.7030729	0.7774898	1.5920030
53	03/30/19	4	0.0423370	1.5664691	0.7620660	1.5664691
54	04/06/19	4	0.0000000	1.3124685	0.8581524	1.4134276
55	04/13/19	4	0.6332454	0.6860158	1.0554090	1.0554090
56	04/20/19	4	0.1180638	1.1216057	0.4132231	0.7674144
57	04/27/19	4	0.2496879	0.8114856	0.6242197	0.3121099
58	05/04/19	4	0.0592066	0.5920663	0.3552398	1.0065127
59	05/11/19	4	0.2766252	0.2766252	0.6224066	0.4149378
60	05/18/19	4	0.2304147	0.5376344	0.3840246	0.6144393
61	05/25/19	4	0.0774593	0.1549187	0.4647560	0.9295120
62	06/01/19	4	0.3511853	0.2633889	0.4389816	0.4389816
63	06/08/19	4	0.0000000	0.1910220	0.5730659	0.3820439
64	06/15/19	4	0.2991027	0.3988036	0.2991027	0.2991027
65	06/22/19	4	0.2214839	0.2214839	0.2214839	0.1107420
66	06/29/19	4	0.2234637	0.1117318	0.3351955	0.1117318
67	07/06/19	4	0.0000000	0.0000000	0.0000000	0.0000000
68	07/13/19	4	0.1228501	0.2457002	0.2457002	0.1228501
69	07/20/19	4	0.5797101	0.1449275	0.1449275	0.1449275
70	07/27/19	4	0.1432665	0.0000000	0.0000000	0.0000000
71	08/03/19	4	0.1420455	0.0000000	0.1420455	0.0000000
72	08/10/19	4	0.1515152	0.4545455	0.0000000	0.0000000
73	08/17/19	4	0.0000000	0.2656042	0.2656042	0.2656042
74	08/24/19	4	0.0000000	0.0000000	0.0000000	0.1367989
75	08/31/19	4	0.3571429	0.0000000	0.3571429	0.0000000
76	09/07/19	4	0.0000000	0.1156069	0.0000000	0.0000000
77	09/14/19	4	0.1059322	0.1059322	0.0000000	0.0000000
78	09/21/19	4	0.1071811	0.1071811	0.1071811	0.0000000
79	09/28/19	4	0.0919118	0.0000000	0.0000000	0.0000000
80	10/05/19	4	0.1561687	0.0000000	0.1041124	0.0520562
81	10/12/19	4	0.1076426	0.0000000	0.1076426	0.0000000
82	10/19/19	4	0.0530504	0.0000000	0.2652520	0.0000000
83	10/26/19	4	0.3705664	0.0529381	0.0529381	0.0529381
84	11/02/19	4	0.3064351	0.1021450	0.1021450	0.0000000
85	11/09/19	4	0.0489716	0.0979432	0.0489716	0.0000000
86	11/16/19	4	0.5919854	0.0910747	0.3642987	0.0455373
87	11/23/19	4	0.4727116	0.1289214	0.1718951	0.0000000
88	11/30/19	4	0.9548611	0.1736111	0.3906250	0.0000000
89	12/07/19	4	1.3448276	0.1034483	0.4482759	0.0689655
90	12/14/19	4	2.0940722	0.2899485	0.4188144	0.0644330
91	12/21/19	4	2.3201856	0.3314551	0.3646006	0.0662910
92	12/28/19	4	3.1272466	0.4672897	0.4672897	0.0359454
93	01/04/20	4	3.1209781	0.4182754	0.3539254	0.0643501
94	01/11/20	4	3.7283622	0.5326232	0.5992011	0.0665779
95	01/18/20	4	3.0344357	0.9205592	0.3068531	0.2045687
96	01/25/20	4	2.4946104	1.0779181	0.3387743	0.0923930
97	02/01/20	4	2.2141341	1.2435547	0.3942978	0.0606612
98	02/08/20	4	1.7288444	1.3042160	0.3942978	0.0606612
99	02/15/20	4	2.1578298	1.7570900	0.4932182	0.2157830
100	02/22/20	4	1.5753200	1.3784050	0.4594683	0.0656383
101	02/29/20	4	1.4005602	1.8674136	0.6224712	0.3423592
102	03/07/20	4	1.1132229	2.2264458	0.5973391	0.2172142
103	03/14/20	4	0.6091618	2.1686160	0.6578947	0.3167641
104	03/21/20	4	0.4451864	3.1441291	0.5843072	0.3060657
